rank,lForm,lemma,pos,subLemma,wType,frequency,pmw,PB_rank,PB_frequency,PB_pmw,PM_rank,PM_frequency,PM_pmw,PN_rank,PN_frequency,PN_pmw,LB_rank,LB_frequency,LB_pmw,OW_rank,OW_frequency,OW_pmw,OT_rank,OT_frequency,OT_pmw,OP_rank,OP_frequency,OP_pmw,OB_rank,OB_frequency,OB_pmw,OC_rank,OC_frequency,OC_pmw,OY_rank,OY_frequency,OY_pmw,OV_rank,OV_frequency,OV_pmw,OL_rank,OL_frequency,OL_pmw,OM_rank,OM_frequency,OM_pmw,PB_fixed_rank,PB_fixed_frequency,PB_fixed_pmw,PB_variable_rank,PB_variable_frequency,PB_variable_pmw,PM_fixed_rank,PM_fixed_frequency,PM_fixed_pmw,PM_variable_rank,PM_variable_frequency,PM_variable_pmw,PN_fixed_rank,PN_fixed_frequency,PN_fixed_pmw,PN_variable_rank,PN_variable_frequency,PN_variable_pmw,LB_fixed_rank,LB_fixed_frequency,LB_fixed_pmw,LB_variable_rank,LB_variable_frequency,LB_variable_pmw,OW_fixed_rank,OW_fixed_frequency,OW_fixed_pmw,OW_variable_rank,OW_variable_frequency,OW_variable_pmw,core_rank,core_frequency,core_pmw
142,パーセント,パーセント,名詞-普通名詞-助数詞可能,percent,外,63392,605.9700959,194,11614,408.2176526,210,1665,376.3074991,92,1196,873.1380113,317,7355,242.6782039,19,29274,5997.674196,372,252,272.4501049,363,1280,341.2907402,595,479,128.1547746,351,2518,246.0067862,246,3623,357.7994907,,,,2414,10,9.2671277,130,4126,808.6328911,190,2613,410.6272791,193,11100,410.5099573,240,394,340.4617145,207,1611,383.8733175,81,955,1026.219643,109,607,691.9728865,342,1518,227.0693263,312,7053,244.656011,21,6121,5876.767423,19,28267,5998.526417,90,1070,974.5585569
286,トウキョウ,トウキョウ,名詞-固有名詞-地名-一般,,固,29804,284.8992418,388,6140,215.8133621,129,2608,589.4354099,84,1323,965.8541714,308,7505,247.6274535,318,2082,426.5613744,416,232,250.8270807,587,757,201.8414769,305,969,259.2525607,424,2063,201.5536139,200,4415,436.0156642,979,24,107.5360358,1730,25,23.1678193,291,1661,325.5305943,347,1521,239.021849,398,5753,212.7625031,122,729,629.9405834,132,2420,576.6439655,85,882,947.7756286,91,809,922.2505193,291,1768,264.4654604,316,7024,243.6500526,334,427,409.9623737,315,2023,429.2998529,149,627,571.0730983
305,アメリカ,アメリカ,名詞-固有名詞-地名-国,America,固,28243,269.9774959,285,7913,278.1321065,298,1260,284.7732425,538,265,193.4628537,214,10970,361.9551186,566,1103,225.9832834,242,388,419.4866694,3227,80,21.3306713,228,1286,344.0648019,525,1627,158.956728,565,1554,153.4696132,1710,13,58.248686,2228,13,12.0472661,274,1771,347.0889118,276,1854,291.3520764,286,7489,276.9647811,278,350,302.4406093,300,1184,282.1266344,786,134,143.9931227,376,222,253.0773984,219,2353,351.9724142,214,10437,362.0409452,707,184,176.6582594,554,1095,232.3694211,533,206,187.6252923
351,ページ,ページ,名詞-普通名詞-助数詞可能,page,外,24642,235.5551979,232,9624,338.2716281,289,1293,292.2315894,1298,120,87.6058205,398,6003,198.0689678,2135,175,35.8541021,128,678,733.0205202,219,2123,566.0626887,927,324,86.6850667,357,2479,242.1965143,586,1508,148.9267546,2149,10,44.8066816,,,,1278,305,59.7753349,248,2041,320.7387205,230,9240,341.7218023,252,379,327.4999741,296,1201,286.1774391,1168,92,98.8609499,1614,60,68.3992969,376,1407,210.4654428,397,5723,198.5206793,1518,63,60.4862519,2122,172,36.5000369,696,163,148.4607895
420,センター,センター,名詞-普通名詞-一般,center,外,20664,197.5291214,1118,2301,80.8772876,558,706,159.56342,295,430,313.9208569,1500,1700,56.0914951,415,1613,330.4723809,1689,55,59.4633165,49,10648,2839.112345,2721,104,27.8248362,955,855,83.5328841,619,1419,140.1373109,10039,1,4.4806682,445,273,252.9925872,807,559,109.5554499,1120,523,82.188315,1147,2134,78.9214639,603,176,152.0844207,546,681,162.2704713,268,313,336.3421449,313,260,296.396953,1499,378,56.5429548,1522,1598,55.4317745,401,353,338.9150303,409,1581,335.5032464,404,253,230.4330046
549,サービス,サービス,名詞-普通名詞-サ変可能,service,外,16630,158.9677356,459,5393,189.5572413,503,778,175.8361767,517,273,199.3032417,886,2814,92.8479219,219,2989,612.3880635,989,99,107.0339698,337,1368,364.7544786,1946,153,40.9346148,734,1126,110.0093889,976,952,94.0174207,10039,1,4.4806682,1199,56,51.8959153,724,628,123.0783945,429,1267,199.1063003,464,5086,188.0949228,549,191,165.0461611,506,739,176.0908638,480,196,210.6168064,519,172,196.0779843,826,668,99.9224703,887,2679,92.9297396,255,560,537.6555721,219,2887,612.6488756,323,303,275.973124
557,システム,システム,名詞-普通名詞-一般,system,外,16458,157.3235714,385,6156,216.3757422,489,806,182.164471,830,188,137.2491188,730,3418,112.7769002,223,2969,608.2904518,1975,46,49.7329557,1188,316,84.2561515,1383,218,58.3251375,782,1056,103.1704393,1367,683,67.4515739,6922,2,8.9613363,4150,1,0.9267128,752,599,117.394838,469,1170,183.8629608,383,5919,218.901661,459,224,193.56199,472,786,187.2901475,817,130,139.6948205,856,116,132.2386406,697,792,118.4709529,731,3244,112.5285835,257,555,532.8550759,220,2885,612.2244566,388,260,236.8086213
574,メートル,メートル,名詞-普通名詞-助数詞可能,metre,外,15960,152.5631425,604,4135,145.3401062,444,878,198.4372277,201,609,444.5995392,510,4732,156.1323264,815,703,144.0310501,207,426,460.5704154,454,1013,270.0996249,894,337,90.1631713,1411,564,55.1023937,411,2168,214.1068992,2854,7,31.3646771,1238,53,49.115777,1203,335,65.654876,508,1091,171.4482823,618,3844,142.162187,417,246,212.5725425,448,817,194.676909,192,435,467.4403611,228,344,392.1559686,494,1079,161.4017148,513,4455,154.5360171,750,167,160.3365724,805,690,146.4245667,598,187,170.3200469
589,テレビ,テレビ,名詞-普通名詞-一般,television,外,15644,149.5424688,846,2996,105.3056731,314,1202,271.6646329,278,448,327.06173,658,3734,123.2033193,825,697,142.8017666,1052,93,100.5470625,733,574,153.0475663,543,520,139.1241812,311,2793,272.8740881,384,2312,228.3280216,2312,9,40.3260134,,,,1411,266,52.1319314,720,784,123.2038985,867,2796,103.4041298,279,346,298.9841452,336,1085,258.5366539,316,278,298.7320009,252,316,360.2362968,606,884,132.2327302,672,3506,121.616897,1085,102,97.9301221,818,677,143.665843,465,233,212.2169568
592,メール,メール,名詞-普通名詞-サ変可能,mail,外,15589,149.0167186,1414,1835,64.4979673,689,589,133.1201904,1654,92,67.1644624,2283,1092,36.0305369,5625,29,5.9415369,1975,46,49.7329557,420,1096,292.2301963,3064,90,24.0791852,107,8522,832.5932613,433,2036,201.0708703,,,,773,123,113.9856712,4774,39,7.6434035,1374,430,67.5735668,1426,1734,64.1283122,810,136,117.5197796,670,571,136.0593819,1619,64,68.7728347,1723,56,63.8393437,2074,272,40.6869939,2283,1039,36.0410599,3824,13,12.4812901,5625,28,5.9418665,661,170,154.8364062
709,データ,データ,名詞-普通名詞-一般,data,外,13210,126.2756336,425,5712,200.7696945,351,1108,250.419645,1616,94,68.6245594,1151,2214,73.0509237,576,1087,222.7051941,301,309,334.0757238,2860,97,25.8634389,2080,143,38.2591498,644,1288,125.8366722,1251,745,73.5745571,,,,1257,52,48.1890642,1112,361,70.7504783,425,1281,201.3063699,425,5460,201.9265195,404,254,219.4854708,343,1065,253.7710013,1552,67,71.9965614,2035,47,53.5794492,1258,455,68.0609641,1146,2112,73.2615192,666,193,185.2991525,575,1044,221.5467358,746,152,138.4419632
824,オオサカ,オオサカ,名詞-固有名詞-地名-一般,,固,11572,110.6178374,1151,2256,79.2955936,479,818,184.8765971,194,622,454.0901698,927,2682,88.4925823,828,695,142.3920054,1374,70,75.6805847,856,481,128.250661,869,343,91.7684503,649,1271,124.1757845,468,1894,187.0472634,5368,3,13.4420045,3074,4,3.7068511,974,433,84.8613771,988,582,91.4600369,1172,2100,77.664046,450,229,197.8825701,483,770,183.4776254,184,448,481.4098431,228,344,392.1559686,833,664,99.3241322,928,2543,88.2121418,862,141,135.3739923,831,665,141.1193288,454,238,216.7709687
868,フランス,フランス,名詞-固有名詞-地名-国,France,固,10957,104.7389945,748,3386,119.0136879,710,576,130.1820537,728,212,154.7702829,537,4455,146.9927122,936,590,120.8795441,425,228,246.5024758,4175,53,14.1315697,981,307,82.1367762,1730,451,44.0623751,1574,593,58.5633723,5368,3,13.4420045,,,,2613,103,20.1864246,892,639,100.4174632,744,3235,119.6396137,594,179,154.6767688,742,521,124.1452504,693,150,161.1863314,623,152,173.2782187,566,948,141.8061405,544,4202,145.7598977,925,128,122.8927022,935,573,121.5960532,700,162,147.5499871
875,ポイント,ポイント,名詞-普通名詞-助数詞可能,point,外,10919,104.3757489,703,3586,126.0434392,240,1479,334.2695442,766,204,148.9298949,1195,2156,71.1372138,871,654,133.9919015,1123,86,92.979004,1311,276,73.5908159,2545,113,30.2327548,954,858,83.825982,678,1322,130.5578048,10039,1,4.4806682,,,,1801,184,36.0611856,681,827,129.9612552,710,3370,124.6323023,275,353,305.0329574,236,1414,336.9316393,620,161,173.0066624,993,100,113.9988281,1049,538,80.4764806,1211,2024,70.2089559,840,144,138.25429,875,627,133.0553672,777,147,133.8879513
888,ホーム,ホーム,名詞-普通名詞-一般,home,外,10790,103.1426258,1306,2009,70.6138509,614,648,146.4548104,818,191,139.4392643,1567,1640,54.1117953,1145,443,90.7620984,1489,64,69.1936774,225,2065,550.597952,2273,129,34.5134988,538,1578,154.1694633,514,1716,169.4683759,1418,16,71.6906905,2486,9,8.340415,1353,282,55.2676867,1156,507,79.6739497,1294,1923,71.1180764,549,191,165.0461611,630,602,143.4461435,808,131,140.7693961,802,123,140.2185586,1602,358,53.551264,1576,1556,53.9748693,955,123,118.092206,1135,433,91.8867209,635,178,162.1228253
907,ホテル,ホテル,名詞-普通名詞-一般,hotel,外,10503,100.3991658,1137,2273,79.8931225,478,820,185.3286182,458,299,218.2845028,696,3582,118.1880797,1788,227,46.5078924,3871,18,19.4607218,2564,114,30.3962066,480,594,158.9226223,721,1136,110.9863817,643,1379,136.1869991,1837,12,53.7680179,,,,4170,49,9.6032505,1122,521,81.8740193,1140,2152,79.5871557,506,206,178.0079015,474,782,186.3370169,518,184,197.7218998,412,206,234.8375859,610,878,131.335223,704,3363,116.6564816,1586,59,56.6458549,1821,214,45.4128366,788,145,132.0663465
935,ブログ,ブログ,名詞-普通名詞-一般,blog,外,10205,97.5505557,12421,116,4.0772557,14320,17,3.8421787,21631,2,1.460097,43158,16,0.52792,,,,,,,6259,27,7.1991016,,,,2524,282,27.5511969,99,9745,962.3947106,,,,,,,,,,15885,18,2.8286609,12367,111,4.1050996,17832,3,2.5923481,13885,17,4.0508047,17475,2,2.1491511,,,,44854,3,0.4487536,46220,13,0.4509469,,,,,,,1413,81,73.7749936
940,クリック,クリック,名詞-普通名詞-サ変可能,click,外,10084,96.3939053,568,4378,153.8812539,2262,200,45.202102,17976,3,2.1901455,2919,814,26.8579277,,,,3871,18,19.4607218,7200,21,5.5993012,12980,13,3.4781045,536,1582,154.5602604,298,3055,301.7050632,,,,,,,,,,518,1062,166.8909952,560,4214,155.8458523,2422,47,40.6134532,2167,198,47.1799608,22856,1,1.0745755,17112,2,2.2799766,3117,167,24.9806176,2890,780,27.0568111,,,,,,,2447,44,40.0753051
949,グループ,グループ,名詞-普通名詞-一般,group,外,10000,95.5909414,790,3223,113.2844407,850,494,111.6491919,414,320,233.6155214,917,2728,90.0103522,910,613,125.5917976,718,135,145.9554133,521,861,229.5713495,1648,181,48.4259169,1444,551,53.8323031,1291,723,71.4018857,,,,,,,1902,171,33.5133845,753,751,118.0180201,791,3056,113.0196783,824,134,115.7915476,852,466,111.0397057,396,232,249.3015259,467,187,213.1778085,1006,559,83.6177559,918,2586,89.7037352,987,116,111.3715114,915,588,124.779196,976,115,104.7422748
955,エネルギー,エネルギー,名詞-普通名詞-一般,energy,外,9930,94.9218048,816,3125,109.8398626,1659,267,60.3448062,1211,129,94.1762571,1040,2425,80.012868,469,1405,287.8572195,126,688,743.8320323,1208,307,81.856451,1324,226,60.4655095,2727,256,25.0110156,2473,351,34.663986,,,,538,211,195.5363953,833,540,105.8317405,741,763,119.9037941,819,2944,108.8775959,1641,71,61.3522379,1601,261,62.1917665,1385,76,81.6677412,1129,87,99.1789804,1138,496,74.1939301,1033,2319,80.4419806,495,285,273.6282822,460,1374,291.5758764,1022,111,101.0990652
992,タイプ,タイプ,名詞-普通名詞-一般,type,外,9514,90.9452217,888,2884,101.3690124,307,1221,275.9588326,2022,74,54.0235893,1106,2298,75.8225034,3435,76,15.5709243,4038,17,18.3795706,4034,56,14.9314699,1176,256,68.4919046,515,1665,162.6693006,1000,933,92.1410226,10039,1,4.4806682,,,,5239,33,6.4674953,864,660,103.7175676,893,2720,100.593431,355,283,244.5448355,301,1176,280.2203733,1872,55,59.1016548,1761,55,62.6993555,1093,517,77.3352053,1112,2179,75.5856299,4185,11,10.5610916,3399,75,15.9157138,1425,80,72.8641912
1008,ドル,ドル,名詞-普通名詞-助数詞可能,dollar,外,9411,89.960635,1433,1815,63.7949922,1650,268,60.5708167,626,235,171.5613985,1013,2490,82.1575429,273,2419,495.606131,2914,27,29.1910827,18532,3,0.7999002,836,355,94.9790083,2673,262,25.5972113,749,1198,118.3118382,10039,1,4.4806682,,,,1194,338,66.2428301,1536,386,60.6590623,1406,1753,64.8309869,1857,63,54.4393097,1699,249,59.332375,554,177,190.1998711,814,122,139.0785703,1074,526,78.6814662,997,2388,82.8354678,234,611,586.6206331,275,2287,485.3231654,985,114,103.8314724
1019,ドイツ,ドイツ,名詞-固有名詞-地名-国,Duits,固,9324,89.1289938,784,3263,114.690391,1411,315,71.1933106,1012,155,113.1575182,657,3737,123.3023043,1523,287,58.8007274,473,201,217.3113932,3920,59,15.7313701,810,364,97.3869268,2355,309,30.1890774,1850,494,48.7863506,2312,9,40.3260134,,,,2253,131,25.6739963,814,698,109.6891852,781,3116,115.2386511,1579,74,63.944586,1400,299,71.2465065,873,122,131.0982162,1188,83,94.6190273,639,845,126.3989333,671,3507,121.6515852,1518,63,60.4862519,1507,280,59.4186648,1943,57,51.9157362
1022,アップ,アップ,名詞-普通名詞-サ変可能,up,外,9303,88.9282528,1277,2050,72.0549499,257,1402,316.8667349,1367,114,83.2255295,2261,1108,36.5584568,2145,174,35.6492215,3408,22,23.7853266,1147,332,88.5222858,2744,103,27.5572897,808,1018,99.4578667,325,2788,275.336732,,,,,,,1760,192,37.6290633,1238,475,74.6452191,1283,1941,71.7837682,244,388,335.2770183,260,1320,314.5330721,1501,70,75.220288,1247,79,90.0590742,2494,220,32.908598,2259,1052,36.4920067,1923,44,42.2443664,2130,170,36.0756179,1022,111,101.0990652
1036,イメージ,イメージ,名詞-普通名詞-サ変可能,image,外,9181,87.7620433,828,3060,107.5551935,392,982,221.9423208,1222,128,93.4462086,947,2652,87.5027324,3049,95,19.4636554,1489,64,69.1936774,2276,137,36.5287745,2066,144,38.5266963,978,833,81.3835,912,1004,99.152826,3715,5,22.4033408,,,,3110,77,15.0908223,810,700,110.0034808,824,2922,108.0639725,420,245,211.7084265,393,929,221.3645636,1182,91,97.7863744,1095,90,102.5989453,848,655,97.9778714,952,2492,86.4430426,2450,29,27.8428778,3003,94,19.9476946,1295,88,80.1506103
1055,センチメートル,センチメートル,名詞-普通名詞-助数詞可能,,外,9060,86.6053929,1223,2136,75.0777429,200,1756,396.8744555,27838,1,0.7300485,1211,2129,70.2463489,2309,151,30.9369681,156,562,607.6069799,1035,381,101.5873219,2354,123,32.9082198,877,934,91.2511272,1068,881,87.0056172,,,,3074,4,3.7068511,17137,2,0.3919694,931,615,96.6459153,1248,1990,73.5959293,198,467,403.5421844,197,1695,403.8890585,22856,1,1.0745755,,,,1188,477,71.3518239,1254,1955,67.8154688,2405,30,28.8029771,2277,149,31.619218,2845,37,33.6996884
1073,スポーツ,スポーツ,名詞-普通名詞-サ変可能,sport,外,8926,85.3244743,1771,1474,51.8092664,407,958,216.5180685,513,275,200.7633387,1495,1704,56.2234751,724,818,167.5923171,1039,94,101.6282137,283,1681,448.21073,1763,168,44.9478124,1171,680,66.4355102,1167,806,79.5987826,10039,1,4.4806682,893,96,88.9644263,1902,171,33.5133845,1794,327,51.3873403,1797,1372,50.74051,366,276,238.4960233,416,886,211.1184105,685,151,162.2609069,473,185,210.897832,1392,405,60.5817373,1521,1599,55.4664627,603,216,207.3814349,718,795,168.706566,1092,104,94.7234485
1082,パソコン,パソコン,名詞-普通名詞-一般,personal computer,外,8844,84.5406286,1621,1621,56.9761335,705,579,130.8600853,1731,88,64.2442684,2076,1221,40.2868915,2376,145,29.7076846,3734,19,20.541873,648,680,181.3107058,3905,67,17.9256157,257,3437,335.7924242,954,971,95.8938188,,,,,,,7662,16,3.1357553,1435,413,64.9020537,1623,1531,56.6207878,716,151,130.48152,713,543,129.3874683,1575,66,70.9219858,2209,43,49.0194961,2362,233,34.853197,2106,1140,39.54457,2143,37,35.5236717,2459,132,28.0116562,855,132,120.2259154
1097,モデル,モデル,名詞-普通名詞-一般,model,外,8650,82.6861643,724,3504,123.1612412,296,1268,286.5813266,2022,74,54.0235893,1649,1559,51.4392005,1031,518,106.1281422,1229,78,84.3297944,2614,111,29.5963064,3620,73,19.5308947,1527,521,50.9013247,1260,738,72.8832526,10039,1,4.4806682,,,,1686,205,40.1768644,779,731,114.8750635,725,3336,123.3748845,261,371,320.5870459,306,1164,277.3609817,1787,58,62.3253815,2156,44,50.1594844,1735,331,49.5124816,1642,1485,51.5120057,1030,109,104.6508167,1029,501,106.316968,691,164,149.3715919
1107,レベル,レベル,名詞-普通名詞-一般,level,外,8603,82.2368869,846,2996,105.3056731,942,451,101.93074,1428,109,79.575287,1399,1810,59.7209448,877,648,132.762618,4398,15,16.2172681,3377,75,19.9975043,2144,139,37.1889638,700,1178,115.0897514,1134,825,81.4751807,,,,,,,1124,357,69.9665395,819,695,109.2177417,843,2862,105.8449998,1134,102,88.1398347,915,437,104.1295095,1358,78,83.8168923,1464,66,75.2392265,1568,364,54.4487713,1387,1749,60.6696956,854,142,136.3340915,876,626,132.8431576,1074,106,96.5450533
1130,キョウト,キョウト,名詞-固有名詞-地名-一般,,固,8495,81.2045047,1327,1980,69.594537,758,542,122.4976964,236,529,386.1956588,965,2610,86.1169425,1954,199,40.7712361,959,102,110.2774234,1198,310,82.6563512,1088,276,73.8428346,1538,514,50.2174297,720,1240,122.4596656,,,,3331,3,2.7801383,1769,190,37.2370939,1133,515,80.9311323,1385,1788,66.1253877,703,154,133.0738681,761,510,121.5241415,239,347,372.8777133,250,318,362.5162733,935,596,89.1523837,983,2424,84.0842437,2071,39,37.4438702,1956,192,40.7442273,937,120,109.2962867
